"binAges","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,0.263232522627626,NA,-0.0410827056289853,-0.222307546692235,0.357036252214651,NA,-0.0629149880372629,0.0570098380617824,0.543212312121249,NA,NA,0.240171836365819,0.00282170833112108,NA,0.298675644307552,0.0755130221911718,0.249070370244179,NA,-0.123051406807434,-0.139299457936308,0.0830002461470819,NA,NA,0.106831495770365,0.0342468830231458,NA,0.0507775708901393,-0.0508067079538302,0.0946398987170506,NA,-0.401019145863884,0.234939663651316,-0.150803083581821,NA,NA,0.40707889863386,0.0375579962038705,NA,-0.0318461008141572,0.0635756338609534,0.211289734828789,NA,0.133996220176666,0.103221042855321,0.0703893725725842,NA,NA,0.173821887194362,-0.0518166280538182,NA
100,0.00299293628458647,NA,-0.172942818250227,-0.100152981640007,0.118996154288065,NA,-0.0701658356061783,0.0169815310173053,0.285737757799374,NA,NA,0.110485249397879,-0.135166725973446,NA,0.112962701803004,0.102766270875322,-0.110170550022146,NA,-0.131560675457564,0.00253556806715527,0,NA,NA,0.0943621006690671,0.0675148630568446,NA,-0.0146422055640195,-0.114537291154194,0.0811513032434137,NA,-0.06916645132301,0.179975000370901,-0.0578897478996526,NA,NA,0.125663355673037,0.133929667597293,NA,-0.0069749033559541,-0.013436970765611,-0.0383864084547139,NA,0.143633985679285,0.270581613128935,-0.129513211504999,NA,NA,-0.0626303873427567,-0.169314728554444,NA
200,0.111642456885741,NA,0.0588381360261964,0.32726832032362,-0.104530527365464,NA,-0.123360634453255,0.0922576072756732,0.287375856399371,NA,NA,0.190947452063718,-0.176149942581339,NA,0.0835995987574991,0.273801661931909,-0.0801406510563046,NA,-0.0645928240785542,-0.0122644509479657,0.103933184292778,NA,NA,0.352671971323257,0.113413637264374,NA,-0.0252228257182468,-0.0460941526548975,0.0573093279712181,NA,0.0214407872576465,0.0780985141248138,0.109099452294922,NA,NA,0.0212665867083236,0.230274366050712,NA,0.258619034131371,-0.0145135076371536,0.12051589136768,NA,0.0972440697089076,0.260272922736214,0.163474544723684,NA,NA,-0.000729313886459748,0.0114423454355518,NA
300,0.0601949776690679,NA,0.251859234558959,0.169931069487918,-0.0724725418059683,NA,0.165045712552338,-0.042195710561455,-0.0210934121390693,NA,NA,0.217475948968263,-0.0423384234300495,NA,-0.184649876021777,0.159154546233604,0.0358757534723966,NA,-0.0944295850640965,-0.000157436332140576,0.0232482154110771,NA,NA,0.234438003942759,0.114714229698928,NA,-0.0065497580040301,0.0250931971926065,-0.0338271232870752,NA,0.076617215257425,0.138726187987529,0.0401663747050568,NA,NA,-0.037686438348509,0.177463497169591,NA,0.128003300074152,0.100512515739051,0.238690588605143,NA,-0.185967276966953,0.22550404151269,-0.130347502928345,NA,NA,0.0262445408877815,0.0478640935962673,NA
400,0.0242673508058024,NA,0.0625822337713439,0.136639754067272,-0.0663577745190122,NA,0.0191150747539059,0.231432981399528,-0.0603398742437291,NA,NA,0.275638756451085,-0.0841689997390163,NA,-0.0537299378413701,0.273064251997223,-0.0161936174837725,NA,0.0866821050325,0.0401810024782891,-0.014149068355079,NA,NA,0.130502327213826,0.192048553790617,NA,0.0293826418256494,0.108621452386088,0.0503587104245759,NA,0.237674530528434,0.181703019509357,0.169709964101822,NA,NA,-0.145569818695245,0.246473838681402,NA,0.250549505582737,0.0347687686772412,0.241265910716799,NA,0.08632716004819,0.263524627954345,-0.0516213528035538,NA,NA,0.026166526647549,0.0838459005005022,NA
500,0.176688754432602,NA,0.0973413861101704,0.257386986839993,0.124926041105423,NA,0.134171655283003,0.110440695880719,0.0551544185415767,NA,NA,0.112039527973516,0.147007423488841,NA,0.0702972791473496,0.168859922578862,0.15437658964022,NA,-0.00207733582393743,-0.0866928365339749,-0.0336202666079661,NA,NA,0.0297230503961713,0.0437099980561525,NA,-0.0422924381331391,-0.0907407884876338,-0.0355656885121365,NA,0.430868403596864,0.174199836810777,0.229818908428144,NA,NA,-0.14541069759529,0.134144825555819,NA,0.130433313556212,-0.254120122859694,0.180313574473616,NA,-0.0642722033869486,0.168311272082871,-0.0461841931214689,NA,NA,0.123980711053535,0.0955001186606009,NA
600,0.210070449969792,NA,0.0903038013833124,0.110902153776546,0.0996707634615092,NA,0.220002738315247,0.169945040289117,0.0274719776527592,NA,NA,0.180146251761004,0.107685376578787,NA,0.180391539773807,0.0533893265722564,0.0430147396954789,NA,0.125444092751695,-0.12303113872458,-0.0926763435446321,NA,NA,-0.151257172207659,0.14743979864023,NA,0.0160759121595037,-0.0165099738738781,0.129142907129772,NA,0.412668899609837,0.232882779412642,0.225905459307883,NA,NA,0.0865109669060945,0.0801518556802138,NA,-0.0465034918830964,-0.356486616478866,0.107781500968927,NA,0.157649107520111,-0.125499640869029,0.0260335720636448,NA,NA,0.193207833311672,0.122242647633286,NA
700,0.0609061128844321,NA,0.213800588343407,-0.0425524065644206,0.13916579925653,NA,0.1989730584845,0.0557731640732621,0.185668214927137,NA,NA,0.0811397569706366,0.149194036354171,NA,0.128298612127403,0.113864930316453,0.124816097895532,NA,0.185425312713798,0.052651568181092,-0.123714110791147,NA,NA,-0.0686511222996939,0.198293339590406,NA,0.181897399162727,-0.0356979051280996,0.113770545151262,NA,0.372822848834816,0.287098927040209,-0.00521999695972439,NA,NA,0.125857565713415,-0.0395603624820335,NA,-0.0216864335997801,-0.202231969759816,-0.0972230927508805,NA,0.194500892046257,-0.0729952448849189,0.114772760867219,NA,NA,0.249341420207822,-0.0206431235984936,NA
800,0.221014147721185,NA,0.133268750344262,0.156631585169675,0.202263292889751,NA,0.172535076718363,0.105078982575247,0.152729083202904,NA,NA,0.153776640418253,0.180194458762404,NA,0.259540725775358,0.0683535821421956,0.248557144907639,NA,0.236949274636315,0.0937699640978278,-0.0799098550899503,NA,NA,0.00780169157644747,0.204722474845587,NA,0.0801402954458397,0.0853205469485621,0.220237809803949,NA,0.460995964323569,0.249029511747556,-0.182499188597946,NA,NA,0.0860824062068408,-0.00263132796299106,NA,0.0513603495091428,-0.257526505520375,0.0900325256394113,NA,0.117697839785942,0.0175031762962797,0.0520138400469003,NA,NA,0.157902433010056,0.0235537133414811,NA
900,0.154129610547833,NA,-0.0812170813352787,0.0931214647940276,-0.0030610058023765,NA,0.338137645594704,0.0645136477063464,0.217141700239799,NA,NA,0.0108171345675477,0.252059205570292,NA,0.149197097861056,0.136323472288229,0.25320153559358,NA,0.143358749295076,0.248717794619855,0.103165475558944,NA,NA,-0.116957867994439,0.262827041596605,NA,-0.0295905947284096,0.230844871083214,0.257114455424181,NA,0.263810576071331,0.0977964451944478,-0.19865452657249,NA,NA,-0.133542116772314,-0.197607669716328,NA,0.101877915575315,0.0532875729102877,0.109701893448598,NA,0.247916071192175,-0.0177989097739235,0.0426748845835296,NA,NA,0.198411860496704,0.0155910527895747,NA
