"binAges","band","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,1,0.493369993180282,-2.31125758386248,3.70722285892533,3.73129099159658,3.26394360830087,-1.8954051745881,0.75637887717698,4.91864360506341,1.75016967277513,-0.865318537448208,2.42530844142427,0.702113995465233,0.702164189614914,0.81550468606612,2.92781779872796,2.40209051204006,1.33943867752581,1.11245214641801,1.72322883536244,-0.716291950814766,0.372106027509503,2.47167277724951,0.346891958888837,2.4306645114417,2.74569262725453,4.05270877220461,-0.312468367913555,0.593032682559647,0.60013933602972,-0.37225936732233,-0.975570544850907,1.74346958326193,3.06344030632928,0.723853998390775,2.90616667929007,0.794162692328349,2.29210025320913,4.20819405812566,1.19693936081145,3.04924887857174,1.52069253576398,1.31540136930493,3.67409170013009,-0.898326834607895,1.12149547562047,1.68901510070737,1.9998399720034,0.41444124293892,-1.72232923958196,2.48223084925103
100,1,0.346857822696024,-0.778703759130693,-0.306087898594706,3.50458920813974,0.433354043321145,0.0885591334254097,0.863814188955495,0.258111384975912,2.02481311511948,-0.978559691246701,-0.419344422012877,-2.25295805662189,-0.989720272760974,-3.08799739147498,0.696058738319085,0.0729794870014189,1.18071260387269,0.0986556018061424,0.0895644765916039,0.133744611050034,-0.820455491545194,0.640554146472941,0.000863315053155844,-0.217197140674972,1.04334108150715,-0.698343880958262,0.411686707590929,-2.07208484295714,-1.13938636336796,-0.000863315053155622,-0.675502833329396,-0.524280780746793,-0.0906515067083855,-0.954958588962698,0.503734639423053,-0.680992528165748,0.179011490609737,0.0365843933215946,-2.65822042828083,-1.09127852347577,2.26818786833541,0.766450595962626,0.556706749882377,-0.951283303057047,-0.983308520693366,1.89927298954397,-0.910020468963473,0.617241051303142,-2.3063466806666,-1.80187682910717
200,1,-0.798129487613935,-2.74178790186966,-1.61659312657593,1.32864692669434,-2.93721965912583,-1.18636484932501,0.083024914905264,2.27587669716054,-1.03407347153198,1.1972434507479,-3.06589373038342,-1.99881674904806,-1.14201598760886,0.115217866503419,-0.78697381507602,1.55985812125881,0.879101281836556,-1.06617594718892,1.71770666500782,-1.28120369396833,-0.794844285942643,-1.58090990384459,-2.26180005443729,0.81716579576462,-0.135185854552247,-1.74431402308438,-1.77429352603296,0.254052341493131,1.11493019520901,-1.75803025520094,-0.955977941139217,-1.56016054437918,-2.24831902731196,0.409065885384289,0.602649831056693,-1.30439591085626,-1.93528472960932,0.767148572420758,0.0800058292609693,-1.32911651845547,-0.559334611029161,1.26431645675907,-0.0430756259835985,0.763723891596477,0.0365404604013844,-3.08823033535759,-1.13879075321886,-1.64858959850112,-1.990966922292,-1.06471959010409
300,1,0.1332190695242,0.505025324813029,1.12394772901931,-0.337669472457188,-1.42273876826775,0.283249578853196,0.11433196811682,-0.160861791654124,-1.20390934695065,0.303089061992416,-1.74688233305004,-1.53521346490238,-1.20014021493408,-0.368741932597308,1.28941103591421,0.000177466288024064,0.158695809142478,-0.756904901083249,2.96814129972215,0.304532679410965,-1.02747256246641,-1.22272594647232,-0.515727332752146,0.928551867547237,0.915235478615487,-0.937138814057073,-1.69359836521981,-0.89422945258575,3.2387441646398,-0.281227540190525,-3.7475941456369,-1.2362593022799,0.344486405356972,-0.591409333934968,1.67754309875267,0.778120252426636,-0.332253361779283,-0.564063358418681,0.00943087184092417,-0.486665709895269,-0.273306334128051,-1.50560406530585,-0.413324000147366,-1.90185957025903,0.555730761483504,-0.347217385483109,-1.16427636562013,-3.43490298355076,-0.0118370902538505,-0.401959121333192
400,1,0.961402944159216,-0.965393081894433,1.14219549072948,0.822494205979469,-1.97638286087504,0.795416386389322,-1.16260511653249,-2.04580923551597,-0.197192743150951,-0.231430296082078,0.0561795350501133,-0.913537269357187,-1.36114049577662,0.302866243573024,-0.570651032560559,1.24383589886346,0.628071528540721,-1.56618120347914,1.87016492614129,-1.86199190794635,0.15471437940333,0.551401712833765,-0.57468248818226,1.14343708993245,-0.961126737739537,0.651272019529987,1.15520239898508,-0.896462276588834,0.756976437274395,-0.357947108461987,-0.862352640532946,-0.690986031253648,0.522226411032768,-2.32603817254224,0.110230405777644,0.288405077900741,-0.523330120878212,0.626142369248007,-2.61089087516778,-0.239885727933469,-1.63601622261225,-3.40792173688659,2.35406874056863,-1.80906818983976,-1.17387267344655,-0.6842481458743,0.376466264209175,-2.27292983050125,-1.77847963082291,-1.45827633786882
500,1,0.560261597581346,-2.13813855976758,2.06293950530386,0.967858978480608,-1.34175449896439,0.645968371973676,-1.16415135611804,-0.163798728884316,0.22997552576817,-0.00109049384705973,0.561137110188594,-0.153006451959171,-0.0251873711977828,-0.487173307696693,1.57786553036859,-1.28098893238903,-1.54565255675625,3.38909602928018,3.09225520366169,-2.19164955231213,0.226546508526149,-1.58458516308061,1.2839943077519,0.953579843510074,1.60105030997171,0.674322243439566,-0.629671115118818,-1.30217014889903,0.567560316218039,2.28036784579132,-1.79216288779727,2.24857127031725,0.670702655168907,0.0851779912819626,-1.09182185332079,1.37076485734749,2.9571090282165,1.33647523266426,-0.634157478435394,0.538143071206501,0.444807976040147,0.326149908422499,1.69781128940448,-1.00571964531838,0.626199486594854,0.761138515742048,1.19862864874736,-1.46380195164629,1.55476387713645,-0.486305247089563
600,1,1.13337859325741,0.362731522478593,2.75018504658827,0.753529913906682,0.264630480137594,-1.91551983991294,1.33804764162591,1.19041687088859,0.780988997360813,-0.00839082622355614,-0.494340136313317,0.187580727910213,-1.03089213143358,0.809932200029306,-2.32564478858189,-1.21869008715707,2.90330376938939,0.946953660409949,0.182366397707894,-0.75713648979881,1.67976278874237,-0.39606160922093,1.86617372549161,1.88264843692949,4.59425723046036,1.77429510983252,-2.41901243174029,1.0176125371668,1.09436711149566,2.90318061884903,1.05867959527824,2.331632211286,0.263633105336086,1.14411710405997,1.3039085417972,0.64342879360914,-0.227991146023414,2.51874185860189,0.77643985887132,-0.609014606094829,2.22763602157513,0.201386302768297,-0.0529029348926331,0.299924510641715,-2.29055100103255,0.669762105843696,-2.17232395509486,0.969011805680255,0.0836981184250509,0.151266215362522
700,1,0.494793286052413,-1.03916237197588,3.28360125293813,1.64979585404739,1.05825399530959,-1.37490618843308,2.10749397415169,0.0277317066561489,-0.587021360393591,-2.74316260880942,0.256760647869776,-0.730350970678171,-0.708876521881991,-0.541984521774494,0.913313442318992,-0.348424349032415,-0.346476652762366,2.19490777852631,-2.04337350211033,-1.88952474237799,2.77508697520721,1.45634029467168,1.07041425296567,1.96622440428769,2.01314406739835,0.651672548234773,0.633866851417463,0.332766620939295,5.1244158410087,0.262782646927206,0.252259766388042,3.01530018845158,-0.507466742771028,0.0650447173870126,0.736326045685762,1.79601447992084,-0.0633089526585007,1.22847099357054,1.58766223105872,3.5738355406548,0.813195861775688,1.05049537315152,2.4454452352173,0.370340461606276,0.877956565372978,0.202454149524516,-1.3994501083689,2.21703964973431,-0.312765028205829,0.453982788027514
800,1,-0.916484518302111,-0.634716810562491,2.10930469356682,0.201824171869318,-0.131078764753569,-3.1816880580745,-0.644102580196139,0.106813157400456,-0.746004781828103,0.0968844529300856,0.186115397736636,0.818781018877206,-0.600725971785065,0.0865274093544484,0.856382592589657,-1.01661342932106,2.22337238384388,3.17375457289936,0.58872034132042,-2.35673621910778,1.07474794736854,-0.147079832448253,0.333789890798709,0.161344757072675,1.66334883107761,0.829944149672382,0.745895918935911,0.189938051167837,3.62278782924147,-0.560007537720238,0.86923228318259,1.10112059521714,1.7017792716898,1.17763765560306,-1.06096967066245,2.16873849397813,1.31366880911423,0.22779463172148,0.0460599273015114,1.97607801749031,0.179051457144887,2.16045157844453,1.60359090825793,0.556138629885053,-0.269262591256115,0.516617669140991,-1.00176964258982,0.954852852477131,-0.23675604151733,-2.07892046558285
900,1,0.0437804010520704,-2.45581715435363,1.62870090730529,1.96506516516821,1.09024834155544,-0.759673668806028,0.382587651223202,-1.22523487543588,0.643307155978063,0.404069056700593,0.720357146422711,3.16705039969518,1.76073967650994,0.764205562364804,0.257623858093764,-0.808183320449116,0.892596614227075,1.97613458338198,2.96096088329389,-1.71274713980815,1.55570190829145,-0.140926891352815,-0.861376411552892,3.31121837673309,2.75039555802622,0.750623667427598,1.21331453757633,1.92101452086345,1.61261099514359,-0.339431506965081,2.00405200521009,2.33000628734096,0.28886139693778,0.286973583677981,2.68793502839789,1.89142706492324,-2.84395064696415,0.49697692299213,2.96088835639766,2.69786409880453,3.33272070482825,1.12405394830878,0.337926049553627,0.843610674824993,1.42749243378442,1.72947233676659,1.64533777814908,1.5782187041644,-0.119740742217588,-0.986390422262211
1000,1,0.805717875693553,-1.34720939351605,0.487791665806901,1.86297274675961,1.40469286721404,-1.05006977916648,1.14941438138895,-1.16245740460309,3.50548220972021,0.474960704388286,1.355893627434,1.2577762972604,-0.0237066674451416,1.41419854519225,1.88983648953824,-1.61973164921325,-0.511419855155693,2.59526286020889,2.40751375071996,0.115312466689791,1.09450823332228,-0.694561262794414,0.749024039003694,3.71996396632801,0.238178986473306,1.17602351492968,1.35234214282028,-0.132594986441451,2.18282522170421,0.735210775876253,1.26436684730403,1.29526691212972,0.730108846678687,2.21861301757737,-0.526788417805849,2.39632532916715,1.39381528934808,-1.4570122176586,-0.191668157785691,0.47894936071683,2.82966483883193,-0.0668802011641194,1.69011195361702,0.718886976323613,2.42483483669055,0.437897778831621,2.75880080807087,1.55053650872699,0.40555514333264,1.03741694693231
1100,1,0.337456367167618,-0.457459608112669,2.70157632995008,0.555409294583562,1.34447937088966,3.4941097687882,1.73740883879782,-0.402694816586757,3.05121924075111,-0.196723628062193,-0.906683401675441,2.26661811725452,0.298462128213868,1.50600070385446,-0.765059287245245,0.262252458188702,0.639701704986272,2.56295086796097,1.16064807658996,-0.954743073959347,3.32593348193405,0.193283371601458,2.6856274207794,1.72578543836912,0.4808923590341,-0.0462116774565857,-0.693506754582487,1.14670381328217,1.973585513825,1.28501501389661,0.314878981707056,1.12781438058782,1.70224918160194,0.736214528352864,-0.205105539160158,1.94675694619336,2.31187195217552,-1.65013186398813,1.2924220513944,1.70799582251481,3.01321674151271,1.48659917815878,-1.51234583516257,0.856765791731221,3.56892331525784,0.598324543843236,1.52975909877972,0.56825113871357,1.52338207975501,0.17724870949952
1200,1,4.4730624654062,1.11579704869718,3.26173432756767,0.270826600008059,1.16849168197178,-0.810235802761042,3.59267449064902,-1.05812503096768,2.10425369088795,1.86757746989026,1.49113939319101,1.11750171888067,-0.00317600413480457,2.62623437375661,1.31259228428947,0.664402635403713,2.48210593403702,1.52784590867756,0.810629771856548,1.9942632079251,3.64348520238611,2.79338155565314,2.38229491576816,1.51149057303775,3.58358743796817,-0.648202604648461,1.96018439595349,3.19299872878025,-0.733365715785701,0.952998500131085,3.28318386603642,1.72294005708419,2.0747451407858,0.940745276967827,0.552126716112876,3.05793233491888,1.90660421668348,0.953526093467368,-0.191753876364025,1.60367682693854,1.20671511893935,-0.388556986835329,2.28569981303931,1.5870251324139,3.68422988040492,1.42518729613352,2.10192540535682,1.22410737622035,2.26272149218263,0.339760148265223
1300,1,2.66291836783147,0.434984732697175,2.25217888963024,2.4841198373229,0.447378370397042,-0.297239338039225,2.95532045878337,0.56523424189623,2.67599697467682,2.76580967710181,1.9507820054749,1.58275620495138,1.21379744037357,2.24018251623515,-1.52667214946187,2.70754341841862,2.94049389571083,1.38545959146231,1.42089788393621,1.79785473268564,2.53875348337493,2.8613901652207,1.81095871082015,3.27336838509472,-0.126474176449072,-0.994889975907108,-0.111106210852759,1.02791053312618,1.84360870767674,3.11798209893867,1.94336983865717,2.41630411007522,2.21817879163893,1.86753351494426,0.364802418744132,1.87099684516262,0.996049101894274,1.83559784236409,0.535249341420639,1.80052400774579,2.53861116844403,0.0673729504328824,-0.976684785159405,1.91810977782969,2.13677982748498,0.998285268590483,3.02528485393678,-0.0528486959116881,0.915218363997591,0.354969899563898
1400,1,1.86046581607913,-0.168160542485146,3.42588719484576,1.03519802299886,1.13569100561284,1.58985382561131,3.39253112981444,0.29539923237087,1.87258926049491,1.9725132299096,1.96991762864701,2.26352244322389,1.82109535503244,3.10844056740008,3.91824421539607,1.93735655911159,2.53356065749798,3.16958430609355,1.78288029983161,1.82288376713504,2.71949004138985,1.22097151419891,3.17895440229305,4.76909339751204,1.91512386586871,2.23798199028079,2.04518929372871,2.15896407381807,3.87223846302922,2.36517145715988,0.740615966959274,2.90657910589141,2.35694221418067,0.984204399067055,3.16428750567273,2.38011836577625,0.0261395864301781,1.57840281573002,1.73733778540749,1.23537629017581,3.06165122556025,0.326424837083653,1.83334322594452,2.13138908702029,1.53686584433608,2.84614159800508,-0.00742448727856559,-1.1189285288915,2.41677178094322,0.51889553642459
1500,1,0.849886051824691,-0.0160833627825361,2.54488705590192,0.760489784925151,1.30410133000214,-1.02526495866053,3.07148244120223,1.39752494343607,1.64051214158156,2.43245236249766,0.959553502983399,0.445265323207179,-0.544761692114555,1.29153947992949,1.75341978636123,-0.385664752817866,1.98434281021878,1.62022866226721,-0.814959690109474,-0.921070548347748,1.51502915903607,2.15248875006276,0.963704040610749,2.77505184947864,0.731907223593051,0.382458368782404,1.37631186083852,0.253013763518063,1.97234233344634,1.01830084404752,0.170664661799667,1.25346958128676,1.31136583481951,-0.713933331624137,1.09271190039515,2.14153291665743,-0.401931988610142,2.06332263035968,-0.297263751408576,2.537559565912,0.695912316001584,2.3085223626319,3.325848725818,2.55060258857789,0.17407379878153,3.44977884562215,-0.732407717433918,-1.94734566259556,1.16092536375966,1.3101773549394
1600,1,1.10380091959229,-2.23480237324552,2.00281272998387,1.24893289711155,1.58121421186499,-0.475142860897511,1.81892533039358,-0.299816247794328,0.89010169247651,0.811252119728385,0.852811816311674,1.05152660260307,-0.181292130986861,1.39016073306626,-0.484909964380984,-2.10814966162967,-0.388008702469961,2.85776430389242,-0.0597149024398054,-0.57304497881448,2.40160254897425,2.10861699339452,1.16683566798375,4.14446982680769,1.83243480886586,0.186354197438557,1.42922248031033,2.02733825262189,0.643021237753867,-0.156254311352229,-0.159877766144511,2.291041040924,-0.488629307423261,2.01170061412519,0.0800680937011045,2.81703531026189,1.40852624620802,0.684343339384994,-0.446630930354438,2.05928841416856,2.59629096236836,1.30536890768835,1.39435509091101,0.283590779587491,0.276405675446849,2.63739326030797,0.133987055498374,-1.00465461672106,1.85801052905422,1.52144163716198
