"binAges","band","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,1,0.113647818842409,0.201447481088342,-0.179908951248591,-0.116616692134544,0.0084251802316878,0.269385211387698,-0.0218097874957786,0.17351199813362,-0.142857618963969,0.06878034998398,0.0444370298987636,0.139788306649657,-0.196073891652197,0.244093414306595,0.0178594586828562,-0.157619893712585,-0.155864490523095,0.0490088731718682,-0.172186654585138,0.0656705339307036,0.314766242481783,-0.288973935647169,0.450882278133796,0.0589956476963353,0.228240480277369,-0.209768425875501,0.0979920253841942,0.090501173054986,0.31134726569141,0.289144619673446,0.378926888148447,0.344850092371089,0.07687102592969,0.253441868668098,0.0410169499867937,-0.0798021277417651,0.129886061567981,-0.292833980511716,-0.135889343094658,0.318620249578436,-0.200707393436141,0.0897378390587504,0.27053764540798,0.0464770078465373,-0.192210875012685,-0.0215947636841376,-0.072714613986595,-0.148293632350852,0.150150301380973,-0.118155045423956
100,1,0.0159422113593828,0.143031066125638,-0.0762208625772443,-0.106718003837708,-0.050956272525497,0.224329249524851,-0.105917237513273,0.0754781022958799,-0.109225601672113,0.0174842126600323,-0.0136947452200527,0.0931368946948722,-0.203738977734633,0.132389610014469,-0.0248154000870788,-0.184522655571622,-0.189524829159894,-0.00297395741921701,-0.169801381109992,0.00625167842454054,0.175091262850946,-0.271648727360481,0.349752199932483,0.00297395741921701,0.10313705861608,-0.206913603689561,0.053578160863287,0.0475708543724058,0.216724901900169,0.154445777177208,0.320492699207509,0.237067714717875,0.0560241559968929,0.157072534635133,-0.0173612419303363,-0.161213448184906,0.0874171791433686,-0.216061597449535,-0.165883955133896,0.213070747398946,-0.161494796516546,-0.044070205676411,0.249388915751706,0.00896578860921109,-0.154448099976432,-0.093622737063972,-0.13243157639968,-0.177167359087468,0.0577413098784052,-0.19595228007284
200,1,-0.17946900360667,0.0261982362002283,0.131155314765449,-0.0869206272440339,-0.169719178039867,0.134217325799159,-0.274132137548263,-0.1205896893796,-0.0419615670884002,-0.0851080619878628,-0.129958295457685,-0.000165929214697616,-0.219069149899507,-0.0910179985697831,-0.110165117626949,-0.238328179289697,-0.256845506433491,-0.106939618601387,-0.165030834159699,-0.112586032587786,-0.104258696410728,-0.236998310787104,0.147492043529858,-0.10906942313502,-0.147069784706497,-0.201203959317682,-0.0352495681785274,-0.0382897829927547,0.0274801743176873,-0.114951907815268,0.203624321325631,0.0215029594114461,0.0143304161312987,-0.0356661334307992,-0.134117625764596,-0.324036089071189,0.00247941429414432,-0.0625168313251722,-0.225873179212372,0.00197174303996471,-0.0830696026773555,-0.311686295146734,0.207091456439159,-0.0660566498654413,-0.0789225499039251,-0.237678683823641,-0.251865501225851,-0.234914812560699,-0.12707667312673,-0.351546749370609
300,1,-0.235831535076851,-0.0366455158855768,0.132533490785438,-0.0785985602156426,-0.175793594051478,-0.0301925942247464,-0.315863427418745,-0.231275615940579,-0.0543175001169783,-0.108486222926321,-0.126295726483268,-0.0649000758442597,-0.181317307435403,-0.139461203768747,-0.0506903130952403,-0.159989221743591,-0.26900459969083,-0.126024231949972,-0.196336967091774,-0.146250231357922,-0.135110741973482,-0.193858998353092,0.0185248647757092,-0.13788635076509,-0.225493400948121,-0.110426631571471,-0.0803643628270772,-0.0834592366516856,-0.127529524589556,-0.229866967305812,0.162735696341735,-0.143723469762767,0.00753778404346749,-0.147203992808785,-0.183436902771686,-0.339537357464128,-0.0277422717739897,0.0103278657171959,-0.157399336544215,-0.059994473384606,-0.000352953695434768,-0.374365668975929,0.113238863582499,-0.0941718798359694,0.0315644890930076,-0.232697194978255,-0.214236646754474,-0.150516974247791,-0.179084940094428,-0.3998796386372
400,1,-0.15314538305116,-0.0455001901317778,-0.072086334517277,-0.0817518027525337,-0.0691795205603298,-0.268900510546864,-0.231111107124719,-0.256579677387056,-0.146293400757847,-0.0526502701553437,-0.00270703829680148,-0.101065545193814,-0.0904834503423197,-0.0129400055824237,0.153609013508047,0.0504942170666934,-0.226002108931911,-0.0602277974649724,-0.263719779906216,-0.094740917885869,0.0825351261626846,-0.142230790058446,-0.037149336329963,-0.0834768254709937,-0.132133790108793,0.0654183795490708,-0.0817662230823625,-0.0879375066043869,-0.248304194821562,-0.190299401294423,0.197826824255821,-0.258611572804766,0.0356462597333991,-0.177541043498826,-0.165319072951604,-0.207717253363723,-0.00324787906103348,0.00247249367756984,0.0395375728705754,0.0271720981252336,0.0866551504292166,-0.232108327163996,-0.0321688628182744,-0.0753799013023731,0.177013017014366,-0.078678270527815,-0.019545012985552,0.0760261558512551,-0.0982834910246891,-0.340950947872613
500,1,-0.0188948291883134,0.0697292174766699,-0.103402588316639,-0.027149135685416,0.0627690865670852,-0.308918046405137,-0.0586412667764111,-0.267750167933639,-0.168392124907152,0.0300846249706987,-0.0399461188856787,-0.147378554401591,-0.0887098501708782,-0.0361519923368999,0.224161406492876,0.105291763283186,-0.162634644919694,-0.0383138016923294,-0.186050560607956,-0.156192655024635,0.112499282933826,-0.0836660287111066,-0.0819058572866725,-0.0765063953721342,-0.03075032598962,0.177709353284798,-0.0499366592287001,-0.0355991203426644,-0.261936988307083,-0.0526429731227961,0.226989579318229,-0.158013735074526,-0.0353862235651874,-0.172128228817427,-0.0685276039749128,-0.094646844824973,-0.106686584970563,-0.0742058685889957,0.0995783943021451,0.118771886173447,0.113180981461719,-0.145154343580922,-0.0853155949586932,-0.0674005557499815,0.204147946649298,0.0408906750770294,0.0915488103089904,0.156733763362411,-0.0616119004453829,-0.215529657308776
600,1,0.166920126511688,0.309042706939766,0.0385847293873516,0.0852094409857103,0.220052227330768,-0.150245201799566,0.201546093626179,-0.264787087580328,-0.120613672564892,0.139718462451806,-0.2380129682499,-0.203839103467591,-0.175996506921078,-0.209097164032176,0.160966865859246,0.00440341690588579,-0.0789022076541793,-0.0602822446320438,0.036670690803008,-0.330605442774221,-0.0452182716600567,-0.0181647143110739,-0.115744698094419,-0.116975060468512,0.0786569914093968,0.22644628963571,0.0151243287339098,0.0735559221334819,-0.168427905046121,0.18310231720907,0.250223961528959,0.158070043427953,-0.205559665852292,-0.130965548764588,0.106937504158388,-0.000326131847876873,-0.33805838950258,-0.2197072210825,0.0227231277504944,0.214804890760034,0.079224539402074,-0.113503718226707,-0.0462013328387576,-0.0702338431787946,0.112969277997802,0.126009641836278,0.119044823129153,0.0916058482856764,-0.0690701683565097,-0.0236157669456896
700,1,0.280658888336552,0.346292767476836,0.1804462922112,0.182093123969589,0.203882436662747,-0.0281408174327836,0.244290853136658,-0.192105078963661,-0.157980376687018,0.20350806743918,-0.289669034938892,-0.124918100671365,-0.198678419758311,-0.197872990968898,0.138011243060535,0.0290511019359419,-0.0202088023325901,-0.177044990860951,0.160111094282127,-0.309346768646456,-0.125341015965504,-0.0740455758301809,-0.106691928618792,-0.106863616743365,0.13006175981528,0.159295864545813,-0.011484921611291,0.153190239997322,-0.0692626928140699,0.245621947557785,0.278124107010179,0.248061032603601,-0.250467734220353,-0.0766953145785956,0.175647621746707,0.11807219301231,-0.412261167435069,-0.260231308380573,-0.0282289725692763,0.240946824274769,0.166738679591414,-0.0344242614985301,-0.0264655973861769,-0.0170566125810125,0.0472518961417858,0.212438520517826,0.11067439151636,0.0549618682784725,0.0289961233795595,0.0442343229145431
800,1,0.32232145628628,0.181479399087879,0.322182100154906,0.263501913266219,0.0142597145630241,0.0573951066952099,0.0695930117550262,-0.049704142083637,-0.280492237273528,0.221453439932822,-0.194914318952655,0.0893844539870856,-0.156755588682577,-0.00247947314706555,0.15529453809674,0.179234818373354,0.0134455710450735,-0.388602040379052,0.184270649829402,-0.0924166326413424,-0.127868949982517,-0.251308613268427,-0.0547475488597928,-0.0461720641966939,0.12346397922803,-0.023741921984892,-0.129764410264302,0.203303833248856,0.0355586483890686,0.13491591792335,0.310690015761888,0.111959232452416,-0.17011042866937,-0.00931752625945061,0.137602748790042,0.260548129755588,-0.329294918768031,-0.195778130483214,-0.0532779066571668,0.19719768671765,0.375723402029739,0.0920840266036084,-0.026108388600951,0.0921311360433649,0.0069958010812488,0.300177311121675,0.0664375154706125,0.0468018233407995,0.232586974762825,-0.0119793877280782
900,1,0.31359996771927,0.134176436117993,0.319857271092999,0.333716371610993,-0.123038031560934,0.0639829531974492,-0.00243796692149013,0.0816635239153548,-0.243061756681409,0.200980583984332,-0.0356625517495515,0.203705621484646,-0.187088305517863,0.0709265203024791,0.14531173260791,0.174082819702289,0.0519114155120723,-0.366953524369293,0.189575080629657,0.0425972152731145,-0.0698551376942268,-0.250382400285313,0.0329831055456238,0.028674137793319,0.133379863029436,-0.160776099041879,-0.11112896423001,0.292727672812393,0.0507298137028636,0.0941089028891459,0.339818288250842,0.0396291495365795,-0.0967289567278631,0.0545351740632738,0.16762621736606,0.244762401030673,-0.206950622009442,-0.10978019122109,0.00553802367060917,0.117061204723451,0.38837520743282,0.173793095874404,0.0318598829440811,0.14519973174318,-0.00642499343231669,0.250820866459717,0.0785290988948364,0.0890871878179165,0.288821424263204,-0.0599698786670978
