age_bp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100
-50.0,0.22461090035213493,0.4583048343985734,0.4997955862490028,0.03637798371752218,0.2591644367301548,0.4079919317381316,0.1353889584727579,-0.06405835092980616,0.1503461758205965,0.27939403695766374,0.09896204359489139,-0.007231672394093855,0.09668506287033574,-0.20541123619889629,0.23987179351045462,0.28813593035822105,0.21700572548638208,0.4232978439583297,0.5250478666986632,0.06671475129891541,0.1805307922279151,0.44636296100413947,0.4679626768997854,0.20484228918462222,0.3596369902735454,0.4017773581809528,0.3966773172694769,0.06402422049764073,0.5906835261179909,0.3465567704752586,0.06862136847744979,0.17868265073885475,0.2065673769856265,0.09200661355982577,0.3495186367856029,0.16436591809892573,0.43264314904372164,0.12430316553876791,0.5707897760088625,0.10572200831077348,0.2993301221430884,-0.24530495891645845,-0.23468886825857263,0.3495289015195278,0.44817495658304984,0.2915907130702806,0.4499027717432164,0.2947913544367439,0.453875549223596,0.2897132398581311,0.09930931850880188,0.2253856579942107,0.1111104660605203,0.4900275062867073,0.16640697354097936,0.5004451566835773,-0.10489219049744186,0.11528610766579517,0.22248293338054909,0.22045665358292993,0.1646722227835896,0.3805404181739955,-0.060182162950175803,0.5531487791920082,0.4302428483410842,-0.0086876525766529,0.6822792105310564,0.14984475035486025,0.27279297651231293,0.17734907131547806,0.11062520791003194,0.4587923098152645,0.354158134789546,0.3211989968072897,0.0822046805874796,0.12794136301046943,0.4092752752454737,0.3181630591588253,0.342797330685359,0.6784621561227261,-0.0013764285210192638,0.19635813113557973,0.06579357263850161,0.2449956787386588,0.609776741742562,0.3585469517652362,0.4098257448929005,0.2774489692396443,0.2645467883415065,0.4971166679752375,0.10264058419279071,0.08011433089269807,0.0637730244774681,-0.0288038037111557,0.32019285525738755,0.26782742882633237,0.4211712451634613,-0.09238267559473776,0.16382606060542051,0.30914731713216587
-49.0,0.28455168777291795,0.34801975330311397,0.3241615854005505,0.3418819723324619,0.506858529898046,0.4242765176837228,0.1849638156027421,0.19845105293871126,-0.1931710086020425,0.1663856733485019,0.30568818479202886,0.15504913572702578,0.5408782287008348,0.43110820048559695,0.47995820112429627,0.6975392958039817,0.09895648620417066,0.7266515649740454,0.3252310094827553,0.4392653303957904,0.5138505231617787,0.49308283724678237,0.3212929369533816,0.2192414741613101,0.3198615913849665,0.28275693719308886,0.5327124539120942,0.25420585731122214,0.659667291194399,0.06103619073518144,0.22742541021469403,0.30187501744704903,0.3824538441247507,0.2846687297666582,0.4009884026778487,0.15526321680195407,0.19772595201772336,0.7111929268953745,0.6740957211209928,0.13145737641890193,0.43489662124252537,0.2948211520514612,0.26006370695260844,0.708980926818489,0.29305601799082415,0.3028210735901835,0.07583888668473794,0.016705320018593504,0.36007011142223594,-0.042670844012289794,0.2561054219056914,0.2511608768613458,0.44300774829256323,0.12078934069694316,0.19528487170119635,0.3568483679728478,0.037842284319799004,0.5824444396452708,0.09308960708290447,0.4166286285171306,0.1932046146995414,0.4306347295399387,0.29750736380646436,0.416849877103979,0.25016514194022244,0.12738652180850563,0.36408208148737714,0.6779660290761268,0.16828164868518578,0.248074394596269,0.03761509155223489,0.4158387729159691,0.18392794047105543,0.15635451087208438,0.31619795645598753,0.23452507219339594,0.6852677642108174,0.32679207644131897,0.29257650190255774,0.3448813489905254,0.6514296842396425,0.23148859455527784,0.20431193177432555,0.2277733103974161,0.1656602838540253,0.3286346482405233,0.4762096958662856,0.15866379728595234,0.3910486241407189,0.25739789639194594,0.1353591664876635,0.03348468685154558,0.3632384332353164,0.3368007207637316,0.27783607030039836,0.4013656372356036,0.31864485361658923,0.13842930212954566,0.4721855880945104,0.2794889092532266
-48.0,0.8764944255055306,0.4315450974679108,0.4352249033589801,0.6157251850226252,0.6628555608238496,0.37995164077456844,0.500081490084087,0.43225556182251157,0.4344757518657987,0.4321143530109714,0.6741389272995605,0.4836105811580601,0.5077734873052212,0.7701983453537744,0.677624329016422,0.9452921898583142,0.41889518065423254,0.6433837842656415,0.8905680254414867,0.634843664721671,0.5586610821260827,0.5794357716297189,0.5287943222428902,0.29688528309951806,0.621166165468013,0.6597759112284182,0.8008104355506691,0.5076766936922082,0.6733823838245626,0.7249808852932023,0.5972124460497845,0.47345404152624504,0.5757913727295848,0.5893797504637198,0.5178821229486791,0.31405146700299075,0.45227846200036687,0.5724708572304729,0.6498469277046364,0.5016852205032488,0.46675515549930796,0.4609196116853529,0.6166314763605807,0.9284933661438856,0.6042194677616924,0.2222237119382375,0.7667573962522121,0.6773162804832433,0.5782546497954847,0.6009511679297312,0.5430963042953343,0.6469683953626304,0.5611307793230953,0.642465476152038,0.3239871102498294,0.4588111866415033,0.7355957393219931,0.656272034617504,0.44274407070586985,0.3783868993037392,0.5791609160300324,0.8300949446761015,0.2726706399946769,0.7421211848370685,0.661881454670104,0.6341119355918171,0.48335658230330136,0.22990868650104135,0.34511669283809554,0.5072881060829023,0.3404709655500431,0.7245102115801464,0.5753450305969265,0.30854100843811355,0.5898675409230165,0.5513157670935639,0.7410260596492984,0.6804375958851356,0.7931824560846105,0.2712931856344627,0.6039404093121102,0.43754940634081896,0.6227884290947797,0.7111260950214197,0.7118995396666838,0.1488931387867657,0.9762854583858434,0.8173290677932346,0.28691904066749824,0.8621222025805919,0.6431143552307701,0.5887326203989163,0.5736288478583234,0.5266612072012611,0.40708827727232993,0.2307966588133132,0.4662253462685533,0.22697683771556487,0.573231338197396,0.35819364334020887
-47.0,0.2847724975142727,0.10328425292291639,0.24954499002864194,0.319079941174979,0.3568819486155466,0.28827563949358864,0.5709843403350059,0.47780540151408996,0.07597229568709331,0.23222781427553654,0.24524888872439524,0.2890118220853596,0.3218190572444063,0.5785743515510059,0.13135814595226117,0.3177754889486795,0.1008654116999199,-0.018740408368223698,0.49025185281116307,0.39652257153669745,0.4559598143286656,0.5768648419797295,0.15932411649371384,0.024286526869793806,0.6280747345820021,0.25743356962277936,0.0990996840967983,0.4323987018095623,0.08773847004154983,0.008134164324368469,0.1330428719404345,0.44381595437073124,0.45398923278608483,0.5940091426531814,0.29757362360276524,0.2195255889978783,0.09528321868210499,0.2706533770238033,0.5459790791202875,0.32312934784452896,0.3063293424921459,0.5334171703569056,0.6182475304488348,0.3538207155594437,0.48251148950001405,0.3829639146979907,0.4469842448195174,0.3271115028936434,0.3294301671385828,0.04678137227870757,0.30718772202861583,0.698014612778554,0.5411136102470603,0.37638120557555327,0.45905966373762236,0.753331397331363,0.5028263130291664,0.44498292406977985,0.5268713993041294,0.6910315754170091,0.24104046982896568,0.09139888357108895,0.6159713033694101,0.20941516582627936,0.15435833810620764,0.263855240832939,0.3029101945838552,0.04855081796995194,0.3928338678981058,0.45921379802820617,0.054890750072145916,0.30633378270928413,0.6023556732728504,0.174098502830044,-0.022216937579434094,0.30121134214717055,0.5073027856176022,0.5018136217184921,0.7802413913575243,-0.2762608705527236,0.40230757363166364,0.31253940671585406,0.4008078188459552,0.2718701168372804,0.45218804232304005,0.18779120543464156,0.2704869019370978,0.3973999657208003,0.24221778014652745,0.18678267450511526,0.3103862276409404,0.2884452590337905,0.32831701611290537,0.5798623678622359,0.444835704773926,0.27222127548907593,0.5968796372045042,-0.04859473856104154,0.5724882022236698,0.1599814882645688
-46.0,0.314814908459285,0.42158225728506177,0.4688468196937337,0.38205477829889944,0.6317101874537586,0.10139087218304539,0.7596387582796389,0.46196242260780285,0.013757295611168277,0.30858070020023837,0.2670124859251565,0.15717867241856032,0.06418689361166015,0.412667643323543,-0.2424134762213201,0.6965604366890283,0.11521683740874189,0.6165793745120641,0.4433940543012259,0.2223098496281081,0.5818096416643023,0.5733171961893277,0.4762261983764,0.5917938899464694,0.3994175981184602,0.2632276014677462,0.4104867344288104,0.38470059648061705,0.31845527148024044,0.3686886582825877,0.14098718612415473,0.2603965324039048,0.2659057352878942,0.40666473902731454,0.40375345939892077,0.4026453948562031,0.5842881913001066,0.4115236418140905,0.5824008214253037,0.24822548569156672,0.5344624717348186,0.42703788963864436,0.5228877708029912,0.30287358558964406,0.16942537884312292,0.32085639773029206,0.39511063745667013,0.29648530542013884,0.530541345082042,0.3686454600450623,0.1600856133234921,0.36951248935216374,0.20872761829709793,0.4133692419823536,0.35740074022973195,0.8851762139714973,0.442852195581169,0.2649488858211422,0.43732689531922136,0.6505183886281929,0.6801432227365561,0.07828228181679919,0.45475036382299955,0.37623759662037654,0.07523760415195825,0.34330902810956027,0.61083847757923,0.3588890647177354,0.3753190210175612,0.2725004407597786,0.141539042666991,0.2188019301551832,0.35212455616675314,0.5315092905787656,0.2388567652166133,0.2504013454190252,0.6434471570607347,0.28780867660821685,0.7234796017020488,0.31839543118462027,0.3440843065652585,0.41509270143024884,0.5604353114208793,0.5497674319627855,0.5368737477422124,0.0829066764473298,0.3340799550895772,0.19211610427345666,0.43526466208830306,0.34365584863344245,0.38962651384322566,0.17297181784088897,0.5958144801841025,0.4163665283929246,0.2977876420326675,0.2791942159319148,0.40607447354712956,0.2591794816210344,0.43866176230708753,0.3521729680555345
-45.0,0.03499020938336219,0.12651372398466107,0.09160474815190617,0.6029495779346394,0.600435765400451,0.2657344401143448,0.1890643667570153,0.1522596884216523,0.1539145379282109,0.19245219263350913,0.5292060367186713,0.07171074786636526,0.3140966915041989,0.31575000400174,0.28332865626445397,0.6544185153647879,-0.04506141146162774,0.18191634005224236,0.4845579416156673,0.2252444634260366,0.6422949189940823,0.20480169081368618,0.43238030384092396,0.23457303808553587,0.2200840148454343,0.23505709504721473,0.4522911484350786,0.09040667454606281,-0.01529452181469655,0.10058157555196862,0.1542344127224643,0.3214604291898542,0.20711764926044163,0.21760489425728335,0.09203721491122316,0.41200115289835676,-0.05483596531286686,0.33542850719278194,0.6697964208848501,0.14324791432522158,0.2794366112907685,0.3918556478097812,-0.16228944252305025,0.3702347591695563,0.4495757032040435,-0.24761239173983476,0.6169540384808357,0.26802551433144145,0.40168773026082705,0.09710659091668974,0.5005996576051117,0.34991042241632925,0.38372250725583046,0.4124514455100632,0.012131340467342744,0.13007336691540544,0.2087375071359838,0.5490094589705049,0.34727124675882937,0.23881474780764714,0.28294937160334543,0.5943029454639785,0.23959815499876175,0.12088005413166639,0.38414467865066815,0.19616961149436377,0.2594291866266252,0.24507261267019434,0.27240323431037755,0.21975889653009603,0.04178891671736402,0.17481858571647477,0.007167460143773501,0.2007207012200874,0.09901311618363967,0.5731238655967132,0.34862105067691007,0.0991755708011923,0.4982365409337583,0.1957491543633752,0.350021587521023,0.2756977826852768,0.16153376726696989,0.5161237559449935,0.2957323325397796,0.17725129539240436,0.45141751740193886,0.1543004695365876,0.20227727669096998,0.32011992454810656,0.36362072818281277,0.1374588126095002,0.4835606454022441,0.7158925270812886,0.42585230151670966,0.2520178739810834,0.3377113719647101,-0.10142473969840975,0.49368194909026414,0.2876191855720948
-44.0,0.3848015827884826,0.508717996009637,0.5546772550518468,0.7971712423677546,0.3164138335238549,0.7260331607634222,0.5654258769081575,0.2215820932619999,0.7026384205401572,0.6114665123122816,0.7728907436380299,0.37062245433861396,0.6158651475180553,0.4301356556403983,0.33585613648170287,0.5537523567776506,0.5061508872577904,0.43058248624678275,0.5184287851531986,0.5887485024361574,0.5985437443975595,0.3947108307374141,0.8149312316835883,0.5195344223769658,0.46576657392881177,0.302317177299955,0.6768760782620189,0.4052128841263278,0.3017645012696929,0.05936453174190829,0.19433435808957011,0.45299290319966024,0.6011204145153974,0.5783207056901729,0.005718871000995417,0.6322062261807884,0.7952002590954868,0.8097373653509592,0.874467776354823,0.26988690964441897,0.529422753050816,0.7785704828652388,0.32885205646329285,0.631542904825003,0.4667542852641703,0.10239192801419623,0.6191923123079719,0.26775741327791125,0.575196334169278,0.6226711120904671,0.9428429395518193,0.5881787422613608,0.6068638810108872,0.6996047417367085,0.4638723466930846,0.5078302922113199,0.4964864723545552,0.5232869224922807,0.6322743778858505,0.5759346904898239,0.3655701292672928,0.6061207992078508,0.8100325302244669,0.5445835616652732,0.2556527127167249,0.4613664719198479,0.7525756969872196,0.5558107354455603,0.39246982077104026,0.35612360906931434,0.3633545065482263,0.25367689132938037,0.6153946605718185,0.741703106169793,0.4840822842276965,0.3987011383592789,0.6908569349625338,0.3333318262117521,0.6220702642535365,0.1987834486322098,0.7099479218164225,0.35732324559899786,0.6894632613199009,0.1197084763426848,0.4979887041879621,0.20504446544365285,0.18893555699992354,0.6548489735604401,0.47343047425135304,0.7240438878058908,0.34390466730906943,0.5175396896476511,0.8987737509287407,0.7658451134908439,0.5304374161826941,0.5798720611123154,0.9219294452025473,0.3229048240310568,0.3898452501956319,0.19169499933533066
-43.0,0.5862290925180064,0.3312288717212465,0.21155254897641432,0.4999064050230049,0.6712839936178132,0.27711993725616746,0.5485820782865386,-0.07449080908552214,0.7469238530078854,0.19209401665224524,0.6219661851431054,-0.0036068770060474625,0.6875510562700963,0.13631543652345718,0.14291068973013601,0.7679646730656697,0.2873746999021834,0.225444374786502,0.3150198367754032,0.43052387570274603,0.40854439940291176,0.21305344487670796,0.5957238061117407,0.3648824039398128,0.6390894692734624,0.3858626915767952,0.2621140378984534,0.5204197200558859,0.038518127556408946,0.29837392109215954,0.36014190406450797,0.13789397683189908,0.3755626694143628,0.29942046866195365,0.12115076930737928,0.21737220655496156,0.6764974439160127,0.3292478014934051,0.376717167759975,0.28405664199571834,-0.027179363829445777,0.38193305859233423,0.25457924341688,0.4347792493175043,0.2176233248038843,0.188219535302532,0.29461552275808744,-0.01661137512497302,0.4289870064105164,0.2584079987780073,0.4699539509474106,0.10687495420663541,0.22547365720784127,0.3707147084070249,0.15652303757762445,0.24557459688080177,0.3774658174181884,0.46349641083270715,0.2075065822122564,0.07745061245449399,0.395378718552761,0.5386290775408782,0.31447706599306574,-0.0028240390114429256,0.48841916447847006,0.26874993535914893,0.45396589930088876,0.5787144453385237,0.4418621196960674,0.318559080375592,0.03925635862597364,0.2916870579220538,0.32958340487450727,0.46602997318799744,0.06606613343529252,0.34820488807243627,0.4354246886277219,0.24244967409314652,0.28698514794721647,0.3060289782521475,0.07616264345046203,0.28660619037329393,0.22554763171986492,0.28136964417812593,0.10655114123769707,0.24227667350128546,-0.2345518301898963,0.5552954292081045,0.2147791970300567,0.21120163803812878,0.4962473932025685,0.23126317758164167,0.5327752816026838,0.00547669128409063,0.5079393531093483,0.11243004718563501,0.4594258273365041,0.1175919770063176,0.3139233565282953,0.5700034144833975
-42.0,0.5255345341717427,-0.08817717553647696,-0.09961261207372488,0.14703728686089348,0.1168753360597637,0.6253008780279189,0.4631146075056656,0.4414521538021339,0.40565865810490087,0.4344819190713747,0.5724586799092334,0.38762497587613864,0.5910626443014128,0.39285055737972513,0.4279495146465141,0.8080616945011836,0.49456082083429365,0.7129030824967626,0.4138135293863253,0.290072672746763,0.4533326847209631,0.553658347018102,0.6299320954787883,0.6417983212930404,0.41099052215684206,0.3770473891093058,0.25031201109126466,0.5526421651203572,0.32150442921660793,0.0946745340197677,0.757975668680749,0.10101208920996568,0.30108004132899924,0.43045344165771016,0.176391287962673,0.39416873374364547,0.347901711958597,0.0064553257854279905,0.42375874424953774,0.24401091830921226,0.1778390255284006,0.22952279217251625,0.508962050487652,0.6312752142536342,0.35392323138424675,0.3056704864641713,0.557813829247738,0.3355848075097709,0.17599316207022414,0.09240421336633341,0.6594264485475052,0.4135032081353939,0.45457226880532825,0.5701535035780088,0.11395631758268143,0.6334896406000685,0.48213063793155164,0.46451577923364173,0.28102332010668407,0.541794474506687,0.19216260050622191,0.48430671499180344,0.20675421219113443,0.09692758930042165,0.7022573571463797,0.2496062865620415,0.38115782694150724,0.6608874168708642,0.3299071536023816,0.39945701485667806,0.21005790392198184,0.2600081868488531,0.21885852262119002,0.36339495753942663,0.5052405295186333,0.061260373038120375,0.47548470099398393,0.4147427828577897,0.44508478930683437,0.2767377029528974,0.21996481213681937,0.34002154856278494,0.5157507609214879,0.3843908400266558,0.4181929787321761,0.3424235734200657,-0.09426113689224785,0.6856090646698347,0.6059548864550552,0.7372768827116344,0.49778350538266064,0.17110788079319336,0.5950495604163142,0.34750821549612243,0.439455626538858,0.27799535146392723,0.24334832624401523,0.15649130955834734,0.4835432120233006,0.6498145684914621
-41.0,0.8261358153789113,0.07740805506413022,0.2851414988270008,0.16037464756483832,0.45490922840172954,0.5710159036606304,0.4895121490128999,0.29015016058314014,0.6256227100412901,0.09555114507202352,0.31197038866441235,0.30250754407657765,0.38678041417697273,0.25710507307023306,0.35965465647317146,0.4671624395944034,0.2650040275987321,0.7353267666647931,0.27567843104872564,0.3559929597640703,0.32102367688765004,0.45595887669618546,0.37486839180444953,0.6867729893314054,0.6132773795243717,0.4401015104788168,0.3965728356206498,0.3777386479236894,0.519417700259287,0.3024527959466889,0.3089890821210275,0.2815452552974908,0.35256872693449876,0.30004395835288467,0.4405340915576301,0.306815885707153,0.5385398514414574,0.2745273414050789,0.42710223311191337,0.10878901416087694,0.638870327449927,0.23267591930242068,0.5740142259102812,0.5564270598845985,0.6212817405392972,0.2118309556189869,0.3568189499438243,0.4927205247361513,0.11057238371161593,-0.004508137204845013,0.5095802024120862,0.19470855771135287,0.37164827117334986,0.5848957367476815,0.2278250555870533,0.5190814061440289,0.4212630158984875,0.49880536141285603,0.3977734499055619,0.553619405216771,0.2924304871172909,0.6632643084838568,0.2659936035918096,0.2265231613339249,0.49681434755739917,0.5001329845147965,0.22064478730139303,0.4191931753327462,0.35735935151626386,0.44558202857011786,0.20606393921023808,0.2693303151541188,0.8538881668856604,0.4912645332968937,0.2993627405507473,0.2783013761588513,0.13576549355967119,0.26932085449063276,0.36654473818705874,0.5100937675067105,0.4169430143977617,0.2472030687700896,0.438324384615733,0.5546757160261121,0.19283209537703427,0.32669094200067444,0.49729842371409305,0.22962175189836462,0.8038800028553492,0.14706960025942376,0.5034165460319489,0.14841660122004838,0.3880756069026522,0.20130234074355446,0.41496375158353577,0.09145503386364857,0.271321795374041,0.33519400151751183,0.6148330944674689,0.6170213913099398
