binAges,band1_med,band1_lo,band1_hi,band2_med,band2_lo,band2_hi,band3_med,band3_lo,band3_hi,band4_med,band4_lo,band4_hi,band5_med,band5_lo,band5_hi,band6_med,band6_lo,band6_hi
0.0,0.45121925090380316,-0.4160487664729371,2.4774797168503455,-0.09972248166475915,-1.0962204521488395,0.9747430117053892,-0.0108388466238915,-0.7214045699317231,0.724348533344095,0.0805856426084818,-0.6535504317444962,1.2854067782814929,0.15090078493915193,-0.23750893453041488,1.102068155890216,0.0024532959913071,-0.6558104354534818,0.8110843218996183
100.0,1.0001765041178778e-16,-1.0016167077104934,0.9187096702699613,0.0,-0.8472466316482922,1.1759693945157348,0.0,-0.555886275863062,0.5430824375304959,0.0,-0.6878176029752854,0.8635812053718567,0.0,-0.4070222161706156,0.469040734552321,4.9981720151581754e-17,-0.644776633382217,0.5090696579753189
200.0,-0.09579164816334751,-1.6408876511815336,0.8853546499416723,0.0790325333198206,-0.7342697607629601,1.1613008475657085,0.0449888048144884,-0.2581113345378665,0.5184004073722566,0.0868831652117947,-0.4140527006931055,0.9773198575826584,0.0841735541321398,-0.29137374382900494,0.518955311557618,0.08275248312076439,-0.5571208002428153,0.6315391047243746
300.0,-0.0334190550551616,-1.166899754492938,1.0555635084049868,0.1165967657216593,-0.6116270658896376,1.1818665564696869,0.04379925911545775,-0.42408691969316314,0.42485042369654286,0.0517431529758517,-0.5243273900536362,0.7519301076037125,0.0997034746705383,-0.22589041282764055,0.6137522048148866,0.08053218238262926,-0.5414110515644337,0.6526070758572401
400.0,0.1781781618362013,-1.2768699757280884,1.243491150123807,0.20906530267770523,-0.43442120016742136,1.3776796808369887,0.01250155212565825,-0.42458390962105674,0.40267603685438685,-0.0649130055492549,-0.8721086634709463,0.577182289315872,0.14782433204017856,-0.09708709291012213,0.7398951029238904,0.080734184589002,-0.5501484648705995,0.5174822711713383
500.0,0.33163860625436437,-0.6321386149429349,1.7209670677746818,0.21396714812000334,-0.5046777890809725,1.2786178952553113,0.04249501097068085,-0.3076656852211978,0.45479089159050085,-0.135175647547453,-0.752579315454052,0.35002983413388916,0.1270769390719989,-0.2323255211198316,0.5358371058642322,0.110737559738294,-0.44021031680335554,0.6209664704915792
600.0,0.46915345612934733,-0.3347045634748184,1.9312390967031487,0.23490243916676024,-0.4525520278865137,1.0668693027107272,0.04706338831857315,-0.35329770570536184,0.4479006480980216,-0.10866954168773091,-0.6976231736991007,0.3512629224688142,0.16362160665244374,-0.09643074043547424,0.7338360117264228,0.11331462435675325,-0.4407286208783265,0.5952492907146256
700.0,0.5091710303003962,-0.3926947358210389,1.9218810904410564,0.23182366379793362,-0.5538145185379659,1.1448396357518398,0.08230403174048756,-0.29522199290671375,0.4483814911280682,-0.12780454967993393,-0.7652921311716299,0.23297449172989948,0.150854844458289,-0.1822123398936454,0.5917112230148027,0.141691864993644,-0.28155921411180557,0.7777816109968149
800.0,0.580166983597288,-0.43136740736063367,1.6844855734143138,0.25452048773597,-0.3753479492482252,1.2716911880024215,0.0909887381110337,-0.279210068230414,0.4725235924559407,-0.10905265088995875,-0.8872319897253322,0.3485584412357018,0.1711332471486935,-0.23927476570874612,0.5710593639942141,0.17526671976873753,-0.2475955425299905,0.913520398868747
900.0,0.6477649494370479,-0.33090209431385037,1.9711533451857832,0.28328417224131053,-0.41018369372859825,1.1075361047908716,0.08370762877893535,-0.2889636771995355,0.4607853682508676,-0.11594673291415,-0.8677703787246921,0.21755767548291574,0.2036062111663735,-0.1923298754926247,0.775535099339263,0.204156737799497,-0.17286741235857037,1.0669364688976797
1000.0,0.7557584578268735,-0.14574841350277093,2.191263815809844,0.2606214056303795,-0.5022611149412493,0.9583396790321734,0.06442366661833465,-0.30196189146900376,0.4633631555861362,-0.0781043304867981,-0.7755433752825961,0.3571781893871171,0.25602537287725446,-0.030858922318768238,0.8948798397785307,0.23271714353146686,-0.206259435774808,1.1555737344748747
1100.0,0.910375120954386,-0.12012087237340391,2.3419256567165014,0.2324120587940682,-0.3244102681312753,0.893712749996633,0.13283993032694164,-0.2346369874971172,0.501788927160041,-0.041861475413994154,-0.7545703709538435,0.6217925505064024,0.297250392792146,0.03949451913029944,1.0143105441048321,0.22320189783387134,-0.23415216839905634,1.1428840836577994
1200.0,0.9920262995242239,0.002779901199370211,2.626526706743061,0.2732266839918495,-0.39021964712063295,1.2623324062627788,0.1345322034497865,-0.14386584706243705,0.5397881253738296,-0.0687793466185029,-0.8611559156063499,0.5081595672137018,0.3174719396257535,0.012471404971874914,1.1142458621905489,0.26055205085540745,-0.12971643046171166,1.1905571600413563
1300.0,1.0273866374295704,-0.007241428559777072,2.6402964508762365,0.31042344940046906,-0.2998829128155966,1.41055239382887,0.1450756171486374,-0.15590973204281092,0.5933329486192722,-0.0530703317592711,-0.7063650667819991,0.3918653411819118,0.2746926013975356,-0.05500284564714946,0.9941082368355314,0.27974317870082377,-0.18411178084766888,1.3116713907704673
1400.0,1.0780473541378421,0.016429959355854458,2.829885231478947,0.31403873669901,-0.3163110449562016,1.2245414524092775,0.133768296599759,-0.16049961599936619,0.521138797279179,-0.08666572173732084,-0.7770026082665941,0.24139040064452846,0.21067926597834163,-0.12801845579275234,0.9306924220366671,0.26043862613718943,-0.18362542103211524,1.1961670892918483
1500.0,0.9373651363833879,-0.15784433502452733,2.3288530110109953,0.2602175529371004,-0.3125629492418293,1.0443890534043199,0.15228207274216848,-0.18354644006087262,0.5472196228044559,-0.05116933527261245,-0.7336150167255177,0.3152349865790138,0.20535270664356,-0.1259734748965595,0.8677825490462271,0.304682463793127,-0.18440011025820507,1.2325449246002458
1600.0,0.9779644831616826,-0.1582472114879841,2.382706425867093,0.3124608208855635,-0.3018831122041217,1.2532971430729054,0.11265122977645495,-0.21702386687496109,0.3953718365866974,-0.026721247648834198,-0.7179762916215267,0.35467712667008483,0.21781602800152,-0.07115719355213669,0.8734004447225129,0.3418194885556475,-0.004678324247653397,1.2846002771801794
1700.0,0.9761673345473045,-0.09860333658361614,2.5107918139736976,0.37224756369547607,-0.1362745085139965,1.4195258990001167,0.11724504862813576,-0.22205886813263762,0.4062109265632772,0.0299857542585108,-0.5975514324194844,0.4034547476483052,0.216532927084219,-0.08397877440226525,0.7347988380462289,0.3521371885002985,-0.09064058733456754,1.353196561081501
1800.0,0.9089686203081391,-0.11470147109614715,2.1644756281027804,0.4094611195287531,-0.2228596813889768,1.524713230013125,0.1194195173110375,-0.2472987642807638,0.40616989539255816,0.058920578862561454,-0.5394559964463265,0.44748523469766305,0.2428790898455836,-0.06905463732205074,0.8858705212944389,0.40416277080898,0.06202340270565796,1.5717349916838264
1900.0,0.8788346810641253,-0.18940378575115863,2.116056138297992,0.37712620109370787,-0.29049795589490923,1.5229500306814485,0.1121722778385261,-0.27815209638584365,0.43033060221115726,0.0603104267802251,-0.5905351812501556,0.49283265993948694,0.2368020559951575,-0.043791528931603214,0.9469880253540393,0.423863855684559,0.1226566639988601,1.7338656839573257
2000.0,0.8002732468122474,-0.45330324773856745,1.8737628030682565,0.3534929286087918,-0.2423690912064083,1.2322830646123175,0.0951166505293924,-0.31291530921399524,0.33302881744859764,0.12010505911126075,-0.4824516726215119,0.5935078037915859,0.260833139212562,-0.04310155766015392,0.9272932871995778,0.44138544041346306,0.06864892125047106,1.54982592049344
2100.0,0.8172533244445492,-0.24682688690569266,2.0685260513858497,0.3782304524542317,-0.17995323478350864,1.2353949313182009,0.12558091611777494,-0.22049561663952233,0.395512396232244,0.12821880083957,-0.4669117422687258,0.5667876154878035,0.29723365799783263,0.07317594409052672,1.0571177703643497,0.4462745977145922,0.09694773132421691,1.580457492335588
2200.0,0.839392460155364,-0.1877521584689812,1.9627704514466107,0.4290327823190715,-0.11572931213651844,1.427929819309994,0.1182704902932562,-0.17973566253153275,0.4214504702255763,0.1781777351515476,-0.38833209069689967,0.5683766311837012,0.336964439042466,0.08499694560148852,0.9942460823744463,0.4756878340118924,0.1004095511205397,1.6409346170026777
2300.0,0.7866890208145553,-0.6265696573081331,1.8824213551802378,0.48571417520537136,-0.1747712929338056,1.4089004649833723,0.1476252432297035,-0.19833115206808535,0.46471600610298325,0.17355647754263598,-0.45991849416358477,0.6238636173356904,0.32954637821447397,0.11603191373980595,1.135513591560251,0.4697619748048725,0.09140242404775428,1.6786303321667537
2400.0,0.7860874806866343,-0.3571037721437122,1.810231323682506,0.42841456023356445,-0.22663356080124514,1.0905548550308184,0.13678169992542943,-0.14601084140938028,0.4988463830677173,0.21137797424388927,-0.2737357863837533,0.7399441335168055,0.369552216047968,0.1197124857558397,1.3183455802808126,0.47589877684839255,0.1330802908807565,1.648256733317797
2500.0,0.7926899132001941,-0.3823122794877495,1.727276848964956,0.472113416308414,-0.18602565837654994,1.2676929162432384,0.1363249772038715,-0.18884354560879,0.48911334921532584,0.24577812743156185,-0.19383382973413693,0.9117837996964717,0.3595735139890675,0.14153295589011639,1.151043583252674,0.4932884589958486,0.19643895053253868,1.64208875503949
2600.0,0.7146123596719555,-0.32928811042648076,1.8810231705401466,0.44279589129132246,-0.25568614651268007,1.1281935573141624,0.1281213624804403,-0.1515421336752138,0.5411842256279619,0.2229871896994225,-0.2887017532342365,0.9991127057317428,0.360834426949285,0.13396427395257643,1.2661952982813758,0.5078798149425885,0.1658793188898017,1.614146496885236
2700.0,0.7474247950254285,-0.20462824188228637,1.9156520058270017,0.5005326155053469,-0.21765096756009578,1.1522955336680383,0.127153180696782,-0.18566644058218718,0.5084216860489743,0.258551450571667,-0.24933705971645775,1.0080640472612739,0.37571968988490645,0.12237587511080396,1.1754926875189438,0.539033061545912,0.16490078640089245,1.8106246136370527
2800.0,0.8618177541738627,-0.1657954044148111,2.4220848387365557,0.45484972082195696,-0.26561108501200686,1.2256540633548663,0.124754140074439,-0.24348345478572977,0.44209631059059545,0.26828416499262353,-0.2162259293181659,0.9184932642030643,0.3742913729623225,0.14655200618755612,1.1469024009497635,0.5687825645466925,0.2136758732744989,1.772071904437272
2900.0,0.9834279683949355,-0.06876357968077741,2.8463176415177758,0.40907190260975845,-0.27060106262771877,1.252380370840655,0.12425065410512465,-0.20409539406308902,0.4705895547426243,0.28253214505087,-0.2122517106796684,0.969704404784114,0.419658572722181,0.1879448785118211,1.3605876810030217,0.571859541607703,0.26169821766804013,1.7552409840151717
3000.0,0.9661424048574667,-0.09802244878829151,2.6871146049745267,0.46511251009830434,-0.40680839974756616,1.2751930833437795,0.11453281224903544,-0.1826369739981231,0.4647920945966198,0.30550610610089446,-0.11460827707902374,0.9374691664848763,0.4400559819778155,0.20328086409778298,1.4590688746135299,0.5852060288279439,0.2933557445328298,2.002137211920751
3100.0,0.9990375938100478,-0.07284918494803737,2.408537688240684,0.47499313092065576,-0.29620838497430124,1.2652557023232969,0.10128916782154655,-0.20146145727830414,0.4496871142312466,0.29690375540657854,-0.21614895316516336,0.9220901288954149,0.47799848932577405,0.21060322981664936,1.546784093856217,0.5668867681029945,0.27635423160558664,1.9147629502343868
3200.0,0.8855510401347794,-0.02322855665975608,2.3101507194961135,0.564747292393022,-0.20350512926552922,1.4651623657338368,0.10218113263557041,-0.22880331665133963,0.49387530907296684,0.28024810906180897,-0.22549380910903977,0.9702502713599122,0.4609035767078315,0.21954284223919415,1.6338325954353246,0.5822375169741876,0.2704595398553845,1.9809589189034866
3300.0,0.8552822426101117,-0.3262592083970971,2.302852299648586,0.588138295033421,-0.12717523904017722,1.3120813061814218,0.115220730784967,-0.16311030764637613,0.45060957223975834,0.2839764466218825,-0.1597259478201287,0.8747612297045116,0.4645951676173985,0.22107562541698556,1.5083843560620687,0.5561210802431336,0.2736781605093766,2.2557909571599524
