year,age_bp,mean,lo_95,hi_95,n_members,cps_median,dcc_median,gam_median,paico_median,scc_median
-10050,12000.0,-1.030868687354485,-4.234730017966256,-0.7307550088085045,250,-3.749736392507915,-1.01665483556248,-0.7834141774579894,-1.06542956710876,-0.995058753177435
-9950,11900.0,-0.969398043545256,-3.974408928096828,-0.6549233097224061,250,-3.466215492006075,-0.9568435563484795,-0.6988387165279305,-1.06542956710876,-0.8747015737605065
-9850,11800.0,-0.9158742021131395,-3.661158476890019,-0.582012965761504,250,-3.15509093629789,-0.846947626379686,-0.6181395813638484,-1.043383619984045,-0.8326046864660664
-9750,11700.0,-0.788828542218294,-3.286890159246074,-0.49435054937702305,250,-2.7742533034755503,-0.7604550389836675,-0.5508357955643436,-0.959207511108467,-0.6976886104311195
-9650,11600.0,-0.711179287868703,-3.005716110114065,-0.39207254569592775,250,-2.49127110428172,-0.688680855980194,-0.4811109646038727,-0.8590240814494241,-0.6113193513162976
-9550,11500.0,-0.5989715990970155,-2.590590875696092,-0.31746097232930487,250,-2.16919757428483,-0.5574211821656314,-0.4166922629140901,-0.7292841560123495,-0.5115931909351855
-9450,11400.0,-0.5187719907467869,-2.2714557430080493,-0.23509997492122428,250,-1.82115940331054,-0.4909908358202495,-0.3508491132056019,-0.6482796790009739,-0.354610963867681
-9350,11300.0,-0.41406128504142603,-1.98295775782599,-0.15325478749697774,250,-1.51255027520526,-0.3820190109726135,-0.2958193450236686,-0.5981338356628589,-0.315745157038739
-9250,11200.0,-0.34848627428636847,-1.753771146226419,-0.09197195239927616,250,-1.339421008001705,-0.3069070993541135,-0.2465445829263599,-0.5050759969576585,-0.27200641718239604
-9150,11100.0,-0.295989041937766,-1.688047899596226,-0.07804935653109589,250,-1.161331305110235,-0.238956258173252,-0.20551711967210515,-0.41784602162507,-0.2186314071472355
-9050,11000.0,-0.24475754738956415,-1.4858140266883049,0.009397814304794532,250,-1.10831064166592,-0.2129156670866915,-0.15469419852143784,-0.33515213643493347,-0.13201672968962452
-8950,10900.0,-0.1824121841143193,-1.320857492338991,0.05393492719527642,250,-0.9791688586943945,-0.155383493666195,-0.1268077333836243,-0.289924147014179,-0.0621492846570221
-8850,10800.0,-0.13381476650180865,-0.9554083122016833,0.11887198553310141,250,-0.7000161192186295,-0.1141730861076385,-0.08277498873417274,-0.222633397425469,0.0105279713707332
-8750,10700.0,-0.08532242190118661,-0.8663812554236665,0.19343310162374214,250,-0.5844662716987565,-0.06623545921724375,-0.043756329050247955,-0.169552332642751,0.07047662203350374
-8650,10600.0,-0.05075360581641555,-0.6774606713487797,0.18643453233141602,250,-0.4777952970808525,-0.038328055814567746,0.0003567608244297,-0.1129675693334575,0.04691856185028825
-8550,10500.0,0.006039795201268201,-0.5637079980133144,0.28947675790738353,250,-0.2896914221235085,0.0129212698791954,0.04185306661209365,-0.058173832646036996,0.10983944758761349
-8450,10400.0,0.0581928256794621,-0.34663711982521966,0.3331266632464739,250,-0.0989808338781433,0.06593767528675015,0.0758201672150334,0.008786156314544751,0.18177398278337098
-8350,10300.0,0.09598833976464545,-0.28686679194012205,0.3549906584018891,250,-0.094115901723002,0.0840826423638631,0.1142166301250142,0.048965526488511,0.2017436147730115
-8250,10200.0,0.12790102015956156,-0.20707059299069935,0.3971606409135883,250,0.0278230872155657,0.109692224004553,0.1335652446949997,0.09094198844593085,0.19371007947532648
-8150,10100.0,0.14372454436166676,-0.20573151212741314,0.4238922879309167,250,0.08436561075551574,0.1027231199895364,0.1628696499816326,0.120830530114411,0.1778421711923365
-8050,10000.0,0.17731564751718504,-0.27759931100459956,0.48768059692853505,250,0.1706113651225615,0.1299923362523725,0.18250720520639324,0.15076811757841502,0.2801707717655265
-7950,9900.0,0.19999173161544076,-0.11983214987600721,0.5547624554836694,250,0.281986473119755,0.1371094181426365,0.2008415123660127,0.1746315261346,0.3050507786276865
-7850,9800.0,0.22472626281088665,0.017574953380793693,0.6465935515470314,250,0.377440468065142,0.1896376582490275,0.22317977630341204,0.20499117306659148,0.3082496224058135
-7750,9700.0,0.2550468781936859,0.021246826026978007,0.7018573605056331,250,0.4499928413755505,0.219589676915208,0.2398936085681883,0.246258896809829,0.29752524845548
-7650,9600.0,0.27473173613018576,0.02058679206558009,0.7604990136367499,250,0.5720793054212985,0.24422586549651,0.2583360486652373,0.2661080797914265,0.296029335993761
-7550,9500.0,0.2916580575018231,0.08275169613945721,0.8038087548720371,250,0.527560897536406,0.2603070259572125,0.27834297310095113,0.2784614222338765,0.316293797809417
-7450,9400.0,0.3009776852985193,0.14111830959083688,0.7731334118354923,250,0.550080091450848,0.2543630183343625,0.2936361551804765,0.285121287899182,0.35596213855221903
-7350,9300.0,0.317243935050457,0.14215011025097782,0.8868841237801646,250,0.643895311914125,0.285245073705026,0.30810503337018946,0.28217000918729795,0.352832857749369
-7250,9200.0,0.33284556537767507,0.1343742263969413,0.8699914684634117,250,0.7387075517916726,0.304054142345219,0.32237429686985564,0.28848656760902747,0.3472398425723655
-7150,9100.0,0.34341270060033846,0.15906518668805744,0.9481439714752946,250,0.7233247894938215,0.3172750335045595,0.3303348503079848,0.293648652926788,0.358790895162143
-7050,9000.0,0.35140124552122387,0.16388832442940202,0.9532467584923661,250,0.7029127961484105,0.283477558088085,0.3429657945595958,0.295323407529245,0.388050494938289
-6950,8900.0,0.3556294264585407,0.16673194555455,0.9742368867663597,250,0.684441882895933,0.306818334585475,0.3556294264585407,0.30592636026853903,0.34738201334065855
-6850,8800.0,0.37759883933568916,0.1629703865561257,0.9109900917353989,250,0.6823645647546895,0.344332872529877,0.3629768297497323,0.32767136091454396,0.405586482095335
-6750,8700.0,0.3755093801722095,0.19418428684213804,0.965883097859813,250,0.6986853688595704,0.33705362011970996,0.37490995434246965,0.329420483965278,0.37900989881137404
-6650,8600.0,0.3822463181460315,0.18145457125269054,0.940779386315521,250,0.775293839414925,0.31182877907407547,0.38222665883860335,0.3494990189845435,0.3947748216428325
-6550,8500.0,0.399644156520697,0.1774021349985376,0.9738160775811131,250,0.7746090590313306,0.3201856813261055,0.3912452995890783,0.34715341600828453,0.409645659540064
-6450,8400.0,0.4085477630531728,0.2225988283074154,0.9960611098282981,250,0.8024340751786381,0.3486049753884195,0.4042170797730533,0.3633585231497305,0.450970055273079
-6350,8300.0,0.4233680156105538,0.2186848545621024,0.9265840780909514,250,0.7809763605473206,0.39044948157839154,0.4185495484231394,0.358039875830497,0.4595079158240725
-6250,8200.0,0.4360853196372372,0.2286949091306936,1.0048927686858338,250,0.850517035678828,0.372217082605222,0.43065059980394593,0.3744055974567055,0.46292480971522854
-6150,8100.0,0.4460033475475263,0.2645391734627173,1.0402734833844078,250,0.816098842158501,0.4160951011117,0.444768287225055,0.431135600156751,0.4148715391727435
