age_bp,median,lo,hi
0.0,0.09361837646694222,-0.27298427590785107,0.44433852179214856
100.0,0.0,-0.35271258430330565,0.29299494849669383
200.0,0.1277728970082646,-0.1663414718913223,0.40909970069710716
300.0,0.04182402346694221,-0.2864004912280989,0.33815563366735535
400.0,0.05668791900413227,-0.23872227387561962,0.33297307540413223
500.0,0.13157960117768602,-0.1397221034173553,0.4316225885471075
600.0,0.12542953796281003,-0.15089681877933872,0.41235952226652894
700.0,0.14564743704132244,-0.1252204063462809,0.4470888313144627
800.0,0.10518799153719008,-0.14317966813057822,0.4049561565256199
900.0,0.13272285436363646,-0.20084221093471066,0.4301848879727268
1000.0,0.17497103124380173,-0.10206594084793365,0.4927318621351241
1100.0,0.2667179381198348,-0.018931345106198223,0.5415244848438013
1200.0,0.29272125154132245,0.032919980473553816,0.5786977901425618
1300.0,0.26194283171900834,0.014572873734711087,0.5365693853256199
1400.0,0.203163500247934,-0.08240964993595032,0.4699142085256199
1500.0,0.1879749941694217,-0.06321583168429731,0.432839886446281
1600.0,0.1802223847272728,-0.09631642923512393,0.43474559862479323
1700.0,0.1893503157520663,-0.10215051996487584,0.4662126328557847
1800.0,0.17946085661983485,-0.1093126156805784,0.4512692316136363
1900.0,0.1681787904173555,-0.09400578555991729,0.4290723241074379
2000.0,0.19226904681404966,-0.08299327840661143,0.42293209964710693
2100.0,0.20479200202066117,-0.049257864271074335,0.4744914906000002
2200.0,0.2506050672603307,-0.037178855678099275,0.515988063739256
2300.0,0.26078248596281006,-0.020370545491322167,0.5372060151305785
2400.0,0.27238235711157044,-0.010740008752479274,0.5309000884433883
2500.0,0.28375748329338846,0.02143532220330597,0.5517602762652887
2600.0,0.28519785501652894,0.010962017296281008,0.5628707497508264
2700.0,0.2776228265826448,-0.01407153499421477,0.5517789236487605
2800.0,0.26501468077685963,0.015434407625620034,0.5559621402458678
2900.0,0.2936966133140498,0.04792622353016543,0.5633960046181818
3000.0,0.3004279788925621,0.029953895847520787,0.5584239340892563
3100.0,0.29768512280165293,0.059040304642975334,0.5369388059842972
3200.0,0.2986009803595041,0.04707486807520688,0.5555234221950414
3300.0,0.3071088969504133,0.06041784283099181,0.5873596167285123
3400.0,0.3234114346446282,0.09058835623388431,0.5489880300871899
3500.0,0.3345153918925621,0.08323480378305795,0.5856450307888424
3600.0,0.3511273777975209,0.10545324585247942,0.5872387211136362
3700.0,0.36851368878925633,0.10886855891033065,0.5988435286392562
3800.0,0.3665447960247936,0.11736478404958689,0.6104865182347108
3900.0,0.3499774814008266,0.11415035075330585,0.6290884931347107
4000.0,0.3671897110082646,0.1287231654095042,0.602942170829752
4100.0,0.3502609152975208,0.10360198068512413,0.5813337000161158
4200.0,0.35300182192148777,0.11361174668057869,0.5951342741119836
4300.0,0.33003564499173565,0.10745901443512408,0.5676428388595043
4400.0,0.33966186504132245,0.10675770616033099,0.6036670472305785
4500.0,0.35843101636776875,0.11053009266157034,0.6098569519665289
4600.0,0.36885631262809926,0.1041758388301654,0.6275834831301654
4700.0,0.3767229185661158,0.1395561206921488,0.6399281084293389
4800.0,0.4026870677231406,0.12949739193636362,0.6546807180892563
4900.0,0.42031452114462825,0.1754087533433886,0.6708091816851238
5000.0,0.41122097094214893,0.17419401863140524,0.6833634006309917
5100.0,0.4375272450785125,0.17258321141033053,0.6958716563057853
5200.0,0.4242847191115703,0.13029230915289253,0.6845409346644629
5300.0,0.4466570968057852,0.161708067109091,0.7110354420533057
5400.0,0.43120984119008277,0.1713515232933886,0.7130221760330577
5500.0,0.44498641971900843,0.15600815593099174,0.7321959408268598
