age_bp,median,lo,hi
0.0,0.04177106133791294,-0.1059508569338622,0.1889617934517269
100.0,0.0,-0.17286149768783038,0.14092493321201346
200.0,0.03924039598095828,-0.12528975183041532,0.14972427552743814
300.0,0.021589381050621137,-0.14705105259163823,0.13025832360055403
400.0,0.015926017288060965,-0.14148093531982603,0.1279866211641592
500.0,0.025041956025151677,-0.10848675217043384,0.13323399319978357
600.0,0.04561589956252604,-0.11655828393259585,0.1488167581405324
700.0,0.04101556145545832,-0.13105150548766348,0.14563990184697992
800.0,0.054143065950200374,-0.10301395868352979,0.15409560647853174
900.0,0.07426792837351598,-0.06449641131544202,0.17457989408996882
1000.0,0.09629334935884243,-0.03790264843989496,0.20107289274426735
1100.0,0.1011128685021106,-0.04918172983352768,0.20420002225118847
1200.0,0.117183566561301,-0.011999996521820894,0.23144177058231236
1300.0,0.11540518517542858,-0.037351215609014506,0.21460662993634982
1400.0,0.09301208636859842,-0.05595634295513986,0.19914613149515606
1500.0,0.09741670965758803,-0.035352640177573794,0.19858400624178904
1600.0,0.09183097124809697,-0.0462628135982876,0.18769909204360222
1700.0,0.09244939073752498,-0.05384954819054698,0.18644779403582964
1800.0,0.1057561887309964,-0.01336975252576315,0.20784547302627487
1900.0,0.1132078361377236,-0.008464614580236835,0.20308445343372772
2000.0,0.13166967747988595,0.027084919481713193,0.21708926509589485
2100.0,0.13166967747988595,0.027084919481713193,0.21708926509589485
2200.0,0.14164659230421733,0.03908470802805879,0.24210330173470196
2300.0,0.14964468155596583,0.0376672628237952,0.2513000279799729
2400.0,0.14646689414022318,0.02894858366026173,0.2464761736288542
2500.0,0.14782173638503554,0.02973366863923339,0.2424742988839479
2600.0,0.15958713771441085,0.043989765081046586,0.25237719513860546
2700.0,0.16344060024759063,0.041046276472589384,0.25560483731832995
2800.0,0.1722590983555547,0.048251805162626,0.2807962225026764
2900.0,0.18347430110320156,0.06760251584686044,0.28889527013896227
3000.0,0.19420241722919157,0.08888545174133619,0.2957022710553048
3100.0,0.2070129487051634,0.10974571008555298,0.31755086090930956
3200.0,0.22023243942165036,0.12464215268417574,0.33739063833300503
3300.0,0.22362276421849459,0.1258388963621886,0.34117504126394166
3400.0,0.23795903972065788,0.15196521391727827,0.36056237149735004
3500.0,0.2394167777706454,0.1392666908800302,0.3670887057910323
3600.0,0.24683367940098894,0.15934331353532621,0.3616842775599523
3700.0,0.27351466262406654,0.17319388421834173,0.39127509955496353
3800.0,0.2860909400345804,0.17796055391569435,0.4166645713081658
3900.0,0.2844605461262988,0.17944724350994196,0.4156749142612562
4000.0,0.28034374097472453,0.18476912488816138,0.40527687724556005
4100.0,0.28125011440637976,0.17422798451977287,0.40497728483575146
4200.0,0.2890539796984437,0.1905932627546722,0.41741025660297887
4300.0,0.2893576787210849,0.19331099253513176,0.4149935091415483
4400.0,0.2933633638517174,0.19199120736549644,0.4159614423863308
4500.0,0.30054555062036875,0.19379827537620498,0.44061607213922144
4600.0,0.3190057328329605,0.2170985190236519,0.47172969897271694
4700.0,0.3227733838583086,0.21453757869610776,0.4742424753343116
4800.0,0.33988276282693386,0.22889324472728165,0.5061504493141877
4900.0,0.3430679872870638,0.24081409057756722,0.4890324358387719
5000.0,0.35689697288975264,0.24331469978926326,0.5171704080065939
5100.0,0.360120905949569,0.2454238817748331,0.5193005074735553
5200.0,0.3644527442721073,0.24978032627324165,0.5241829798916569
