age_bp,median,lo,hi
0.0,0.08740046938887559,-0.24864521321308916,0.39911916479132126
100.0,0.0,-0.24793924964399894,0.270846760403064
200.0,0.08999745833987889,-0.16441268024632194,0.3093633311774567
300.0,0.08432242664148054,-0.14794420531318186,0.32463124382743036
400.0,0.11592559490709814,-0.10393831765400839,0.31642461547055734
500.0,0.09181026564508316,-0.11229770692660959,0.3263266829957902
600.0,0.11631257869017682,-0.07671913200052663,0.325231154084262
700.0,0.1251633629518697,-0.09422646945603096,0.2880790275202051
800.0,0.1272727375303181,-0.07943623152650699,0.31156712764491507
900.0,0.10433958366409656,-0.09261818462779006,0.2913130427414959
1000.0,0.12270368945625502,-0.07109136455959564,0.31891865121950264
1100.0,0.17658873091680763,-0.011522873165264114,0.3510850012003446
1200.0,0.19220739665780878,-0.0003406732128863682,0.3603820199906191
1300.0,0.21268262470945054,0.0510918622104016,0.3921096372838564
1400.0,0.1637950078638738,-0.008286754710800556,0.3500125698092626
1500.0,0.16282117849149003,-0.02072184778523082,0.32101331736856525
1600.0,0.16721178939503262,0.007551186086617951,0.34706370407469095
1700.0,0.19569957995386278,0.02481900769836556,0.3659108972062293
1800.0,0.18928719740363598,0.03372838511148475,0.36569689398104327
1900.0,0.16090823261807014,-0.020426063874791636,0.3234498111024637
2000.0,0.1625432622386485,-0.0312752151887464,0.3340679173094773
2100.0,0.1985915154889763,0.012075318113697492,0.3569769202821591
2200.0,0.22819159654515372,0.06067533926451418,0.3754533224364189
2300.0,0.24314977151550363,0.06795411895212465,0.4037792024597258
2400.0,0.24849315129023825,0.07408214022836651,0.42690416059167624
2500.0,0.26101686590227435,0.0859795428019677,0.4497220390823175
2600.0,0.24394590115482404,0.07168361503331207,0.42829853768061765
2700.0,0.2534137991623049,0.0837008684456203,0.44546276858220085
2800.0,0.27588171871199973,0.11177994571984687,0.46653254020762974
2900.0,0.31027272192007704,0.13276429932368916,0.47838849392998956
3000.0,0.32448789757880003,0.14976421880896534,0.4740017456456247
3100.0,0.339382221612496,0.15649107330763334,0.5020465231550402
3200.0,0.31759637958636744,0.15195644232534236,0.49599880132690893
3300.0,0.31861344485390447,0.14998100156396138,0.4891798958587979
3400.0,0.3390296732852854,0.17062324401211862,0.49915747545948846
3500.0,0.3515341351149637,0.19701881394793527,0.5117801038522497
3600.0,0.3812310086144599,0.2063484802062858,0.551692715349618
3700.0,0.39196457047898814,0.21093117722898905,0.5757866831738451
3800.0,0.3887332948809311,0.20461769214801498,0.5588008235817019
3900.0,0.38855665703761544,0.19742031975825397,0.5612982287733782
4000.0,0.38313700506665593,0.19146201350848557,0.5751667790904622
4100.0,0.38931844487760414,0.20990488377316824,0.5707008190554957
