cell,clat,clon,cell_area,clon180
0,-89.094036430963,0.0,8.907580398418557e-06,0.0
1,-86.53083638998913,25.714285714285715,111163968234.01425,25.714285714285722
2,-86.53083638998913,77.14285714285714,111163968234.01433,77.14285714285711
3,-86.53083638998913,128.57142857142856,111163968234.01428,128.57142857142856
4,-86.53083638998913,0.0,111163968234.01428,0.0
5,-86.53083638998913,-128.57142857142856,111163968234.01427,-128.57142857142856
6,-86.53083638998913,-77.14285714285714,111163968234.01418,-77.14285714285714
7,-86.53083638998913,-25.714285714285722,111163968234.0142,-25.714285714285722
8,-83.28168517635366,3.9560439560439136,122710669425.11295,3.9560439560439136
9,-83.28168517635366,31.648351648351653,122710669425.1134,31.64835164835165
10,-83.28168517635366,59.34065934065937,122710669425.11345,59.340659340659386
11,-83.28168517635366,87.03296703296708,122710669425.11317,87.03296703296706
12,-83.28168517635366,114.72527472527474,122710669425.11333,114.72527472527474
13,-83.28168517635366,142.41758241758248,122710669425.11356,142.41758241758248
14,-83.28168517635366,-9.89010989010987,122710669425.1129,-9.89010989010987
15,-83.28168517635366,-162.19780219780222,122710669425.11354,-162.19780219780222
16,-83.28168517635366,-134.50549450549448,122710669425.11345,-134.50549450549448
17,-83.28168517635366,-106.8131868131868,122710669425.1131,-106.8131868131868
18,-83.28168517635366,-79.12087912087915,122710669425.11328,-79.12087912087915
19,-83.28168517635366,-51.428571428571416,122710669425.1137,-51.428571428571416
20,-83.28168517635366,-23.73626373626371,122710669425.11295,-23.73626373626371
21,-80.10571474006073,-4.060150375939827,125307358947.34546,-4.060150375939827
22,-80.10571474006073,14.88721804511279,125307358947.34557,14.887218045112803
23,-80.10571474006073,33.834586466165426,125307358947.3457,33.83458646616543
24,-80.10571474006073,52.78195488721806,125307358947.34567,52.78195488721806
25,-80.10571474006073,71.7293233082707,125307358947.34567,71.7293233082707
26,-80.10571474006073,90.67669172932332,125307358947.3456,90.67669172932335
27,-80.10571474006073,109.62406015037594,125307358947.34529,109.62406015037595
28,-80.10571474006073,128.57142857142856,125307358947.346,128.57142857142856
29,-80.10571474006073,147.5187969924812,125307358947.34532,147.5187969924812
30,-80.10571474006073,166.46616541353382,125307358947.34595,166.46616541353382
31,-80.10571474006073,5.413533834586474,125307358947.34546,5.413533834586474
32,-80.10571474006073,-155.6390977443609,125307358947.34587,-155.6390977443609
33,-80.10571474006073,-136.69172932330827,125307358947.34549,-136.69172932330827
34,-80.10571474006073,-117.74436090225561,125307358947.3461,-117.74436090225561
35,-80.10571474006073,-98.79699248120298,125307358947.34506,-98.79699248120298
36,-80.10571474006073,-79.8496240601504,125307358947.34549,-79.8496240601504
37,-80.10571474006073,-60.902255639097774,125307358947.34589,-60.902255639097774
38,-80.10571474006073,-41.95488721804509,125307358947.34604,-41.95488721804509
39,-80.10571474006073,-23.00751879699243,125307358947.34546,-23.00751879699243
40,-76.9370948685525,-8.228571428571456,126280667001.48363,-8.228571428571456
41,-76.9370948685525,6.171428571428578,126280667001.48456,6.171428571428578
42,-76.9370948685525,20.571428571428573,126280667001.4839,20.571428571428584
43,-76.9370948685525,34.97142857142857,126280667001.48346,34.97142857142856
44,-76.9370948685525,49.37142857142856,126280667001.48387,49.37142857142857
45,-76.9370948685525,63.77142857142857,126280667001.48392,63.77142857142857
46,-76.9370948685525,78.17142857142858,126280667001.4836,78.17142857142858
47,-76.9370948685525,92.57142857142856,126280667001.48337,92.57142857142856
48,-76.9370948685525,106.97142857142855,126280667001.48373,106.97142857142853
49,-76.9370948685525,121.37142857142857,126280667001.4841,121.37142857142857
50,-76.9370948685525,135.7714285714286,126280667001.48381,135.7714285714286
51,-76.9370948685525,150.1714285714286,126280667001.48413,150.17142857142858
52,-76.9370948685525,164.57142857142858,126280667001.48297,164.57142857142856
53,-76.9370948685525,-1.0285714285714391,126280667001.48401,-1.0285714285714391
54,-76.9370948685525,-166.62857142857143,126280667001.48357,-166.62857142857143
55,-76.9370948685525,-152.22857142857143,126280667001.48405,-152.22857142857143
56,-76.9370948685525,-137.8285714285714,126280667001.48383,-137.8285714285714
57,-76.9370948685525,-123.42857142857142,126280667001.48286,-123.42857142857142
58,-76.9370948685525,-109.02857142857144,126280667001.48405,-109.02857142857144
59,-76.9370948685525,-94.62857142857143,126280667001.48355,-94.62857142857143
60,-76.9370948685525,-80.22857142857143,126280667001.48402,-80.22857142857143
61,-76.9370948685525,-65.8285714285714,126280667001.48395,-65.8285714285714
62,-76.9370948685525,-51.428571428571416,126280667001.48311,-51.428571428571416
63,-76.9370948685525,-37.02857142857144,126280667001.48384,-37.02857142857144
64,-76.9370948685525,-22.628571428571433,126280667001.48355,-22.628571428571433
65,-73.76414743349737,-10.783410138248883,126747140146.68109,-10.783410138248883
66,-73.76414743349737,0.8294930875575801,126747140146.68355,0.8294930875575801
67,-73.76414743349737,12.442396313364045,126747140146.68222,12.442396313364043
68,-73.76414743349737,24.0552995391705,126747140146.68222,24.055299539170505
69,-73.76414743349737,35.66820276497695,126747140146.68233,35.66820276497694
